Date,MSFT.O,AAPL.O,V.N,MA.N,INTC.O,CSCO.O,JNJ.N,UNH.N,MRK.N,PFE.N,ABT.N,MDT.N,JPM.N,BAC.N,WFC.N,C.N,USB.N,GOOGL.O,T.N,DIS.N,VZ.N,CMCSA.O,AMZN.O,HD.N,MCD.N,NKE.N,SBUX.O,LOW.N
2009/1/2,20.33,90.75,53.44,149.78,15.2,16.96,60.65,27.59,31,18.27,53.56,32.61,31.35,14.33,30,7.14,25.25,321.32,29.42,23.92,34.64,17.99,54.36,24.13,63.75,53.06,9.84,22.64
2009/1/5,20.52,94.58,53.82,153.26,14.91,17.11,60.05,27.14,30.53,18.16,52.64,32.58,29.25,13.98,28.06,7.08,24.01,328.05,28.43,23.5,32.48,17.03,54.06,24.71,63.56,53.44,9.92,22.96
2009/1/6,20.76,93.02,57.61,162.02,15.37,17.79,59.69,26.5,29.97,17.8,50.92,31.23,29.88,14.28,27.54,7.46,23.75,334.06,28.3,24.31,31.96,17.23,57.36,25.26,62.14,52.36,10.22,22.96
2009/1/7,19.51,91.01,56.36,152.07,14.44,17.32,59.13,26.3,29.49,17.49,50.64,31.72,28.09,13.71,25.87,7.15,23.37,322.01,27.21,23.18,31.9,16.64,56.2,24.57,61.24,50.46,9.99,22.13
2009/1/8,20.12,92.7,55.76,152.78,14.55,17.54,59.02,26.71,29.36,17.65,51.2,32.22,27.22,13.54,25.72,7.16,23.16,325.19,27.18,22.9,32.39,16.91,57.16,24.39,60.52,51.39,10.14,21.95
2009/1/9,19.52,90.58,55.62,150.04,14.15,16.7,59.05,26.45,28.73,17.44,51.17,32.57,25.97,12.99,25.14,6.75,22.35,315.07,26.68,22.31,32.16,16.33,55.51,23.86,60.07,49.61,9.77,21.19
2009/1/12,19.47,88.66,52.96,148.04,13.79,16.4,58.34,25.62,28.5,17.36,50.06,32.45,24.91,11.43,23.8,5.6,21.68,312.69,25.94,21.86,31.79,15.7,51.92,22.97,60.16,50.12,9.59,20.23
2009/1/13,19.82,87.71,53.14,150.44,13.67,16.45,58.84,25.36,28.44,17.59,50.06,32.45,26.35,10.65,24.38,5.9,22.19,314.32,25.99,21.2,31.5,15.33,51.45,22.51,59.32,49.5,9.37,20.3
2009/1/14,19.09,85.33,50.97,145.3,13.08,15.74,57.95,24.08,27.82,17.24,49.47,32.41,25.91,10.2,23.07,4.53,21.07,300.97,25.41,20.8,30.56,14.81,48.49,21.91,57.33,46.65,9.04,19.56
2009/1/15,19.24,83.38,49.38,130.3,13.29,15.81,57.62,24.89,28.12,17.39,49.22,32.02,24.34,8.32,20.16,3.83,19.02,298.99,25.12,21.36,29.9,15.01,51.44,22.81,57.98,46.96,9.28,20.54
